#OTU ID,Taxonomy,EAT01,EAT02,EAT03,EAT04,EAT05,EAT07,EAT09,EAT10,EAT11,EAT12,EAT13,EAT14,EAT15,EAT16,EAT17,EAT18,EAT19,EAT20,EAT21,EAT22,EAT23,EAT24,EAT25,EAT26,EAT27,EAT28,EAT29,EAT30,EAT31,EAT32,EAT33,EAT34,EAT35,EAT36,EAT38,EAT39,EAT40,EAT41,EAT42,EAT43,EAT44,EAT45,EAT46,EAT47,EAT48,EAT49,EAT50,EAT51,EAT52,EAT53,EAT55,EAT56
Otu32,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Cellvibrionales;D_4__Cellvibrionaceae;D_5__Simiduia,0,104,82,106,2,0,10,0,41,12,0,117,7,0,0,0,0,0,0,121,0,0,5,14,0,2,9,0,0,0,0,0,0,74,3,0,0,0,0,0,0,0,8,0,1,14,0,1,2,2318,330,19
Otu336,D_0__Bacteria;D_1__Cyanobacteria;D_2__Chloroplast,0,0,0,0,0,0,0,0,0,1,0,31,0,0,22,78,66,0,18,0,0,3,2,4,0,0,8,15,2,134,3,39,9,5,0,0,0,0,6,0,31,1,0,0,0,0,0,6,62,303,10,0
Otu34,D_0__Bacteria;D_1__Bacteroidetes;D_2__Flavobacteriia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Polaribacter,38,4,17,20,1,1,117,86,18,65,151,97,135,14,10,28,14,12,194,89,98,79,950,717,34,99,130,71,148,175,155,39,2,50,522,2,1,2,9,5,2,172,91,279,128,377,435,485,1600,570,1598,816
Otu344,D_0__Bacteria;D_1__Chloroflexi;D_2__KD4-96;D_3__uncultured bacterium;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium,78,105,212,46,6,0,4,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,355,0,0,9,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,4,129,0,0,0,0
Otu35,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Moraxellaceae;D_5__Acinetobacter;D_6__uncultured bacterium,281,75,145,116,409,158,234,995,0,11,719,296,16,20,86,138,19,52,312,258,3,40,16,23,128,119,57,10,190,97,275,810,0,3,1,0,1,1,0,2,108,3,3,0,0,4,1,1,0,0,0,0
Otu350,D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Clostridiaceae 4;D_5__Clostridium sensu stricto;D_6__uncultured bacterium,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0,1,70,328,2,75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Otu36,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales,0,0,0,0,0,0,0,1,0,0,1,3,2,0,0,0,0,1,609,422,777,806,92,113,0,0,0,0,0,0,10,0,0,0,1,1,0,0,0,1,0,69,37,103,106,739,653,1,1,0,1,9
Otu364,D_0__Archaea;D_1__Miscellaneous Crenarchaeotic Group;D_2__uncultured archaeon;D_3__uncultured archaeon;D_4__uncultured archaeon;D_5__uncultured archaeon;D_6__uncultured archaeon,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,402,9,0,2,0,0,0,0,0,0,0,0
Otu369,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Moraxellaceae;D_5__Psychrobacter,344,3,0,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu37,Unassigned,256,200,615,675,26,1,12,0,0,45,12,0,0,0,0,0,0,0,77,116,14,41,0,1,0,9,83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,2,0,0,9,2,194,1043,44,0
Otu38,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Oceanospirillaceae;D_5__Oceanospirillum,0,0,3,0,0,0,0,0,0,0,0,1,2544,171,20,14,25,26,57,63,51,44,6,15,4,5,20,25,0,0,0,0,0,10,0,0,4,12,1,110,41,6,5,4,5,10,18,122,266,198,114,92
Otu380,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__SAR324 clade(Marine group B);D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium,0,0,10,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,212,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0
Otu39,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae;D_5__Pseudomonas,13,102,11,15,94,2949,18,2,0,250,84,904,1,0,80,30,180,94,1603,0,42,0,81,5,69,47,23,215,105,117,37,546,24,17,2,160,31,2,15,6,21,1,4,0,4,15,12,0,2,913,6,0
Otu4,D_0__Bacteria;D_1__Bacteroidetes;D_2__Flavobacteriia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Tenacibaculum;Ambiguous_taxa,21,0,11,7,0,3,550,167,194,161,1013,696,902,68,219,214,8424,7006,1760,1211,549,345,1073,1062,3913,3893,554,120,160,144,122,27,63,175,496,17,26,3,4,6,51,764,397,175,110,2287,1859,1548,4917,3571,5048,2550
Otu40,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Myxococcales;D_4__Sandaracinaceae;D_5__uncultured,72,3,365,0,102,83,5,416,104,48,171,203,85,0,44,5,36,38,6,0,0,0,0,0,1063,0,1,19,0,57,0,0,89,1,1118,1698,0,1,0,5,0,0,3,0,0,0,0,946,0,0,2,130
Otu41,D_0__Bacteria;D_1__Cyanobacteria;D_2__Chloroplast;D_3__uncultured diatom;D_4__uncultured diatom;D_5__uncultured diatom;D_6__uncultured diatom,1365,1374,367,806,41,2,72,0,0,2,0,1,1,0,0,0,0,0,0,65,30,2,55,5,12,9,1,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,5,0,0,0,148,0
